"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType","Site","Container"
"LocalSystem","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","False","C:\WINDOWS\system32\svchost.exe -k osprivacy -p","Manual","camsvc","System.ServiceProcess.ServiceController[]","False","True","True","Capability Access Manager Service","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"","This user service is used for Clipboard scenarios","True","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p","AutomaticDelayedStart","cbdhsvc_1997b6","System.ServiceProcess.ServiceController[]","False","False","True","Clipboard User Service_1997b6","System.ServiceProcess.ServiceController[]",".","cbdhsvc_1997b6","System.ServiceProcess.ServiceController[]","Automatic",,"Running","240",,
"NT AUTHORITY\LocalService","This service is used for Connected Devices Platform scenarios","True","C:\WINDOWS\system32\svchost.exe -k LocalService -p","AutomaticDelayedStart","CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform Service","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"","This user service is used for Connected Devices Platform scenarios","False","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Automatic","CDPUserSvc_1997b6","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform User Service_1997b6","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_1997b6","System.ServiceProcess.ServiceController[]","Automatic",,"Running","240",,
"LocalSystem","This service enables incoming connections from Chrome Remote Desktop clients.","False","""C:\Program Files (x86)\Google\Chrome Remote Desktop\112.0.5615.26\remoting_host.exe"" --type=daemon --host-config=""C:\ProgramData\Google\Chrome Remote Desktop\host.json""","Automatic","chromoting","System.ServiceProcess.ServiceController[]","False","True","True","Chrome Remote Desktop Service","System.ServiceProcess.ServiceController[]",".","chromoting","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","‪Manages resource coordination, background streaming, and system integration of Microsoft Office products and their related updates. This service is required to run during the use of any Microsoft Office program, during initial streaming installation and all subsequent updates.‬","False","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","Automatic","ClickToRunSvc","System.ServiceProcess.ServiceController[]","False","True","True","Microsoft Office Click-to-Run Service","System.ServiceProcess.ServiceController[]",".","ClickToRunSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","Manages communication between system components.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","Automatic","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Intel(R) Content Protection HECI Service - enables communication with the Content Protection FW","False","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_156dc23a4fab3900\IntelCpHeciSvc.exe","Manual","cphs","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HECI Service","System.ServiceProcess.ServiceController[]",".","cphs","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess",,
"LocalSystem","Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW","False","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_156dc23a4fab3900\IntelCpHDCPSvc.exe","Automatic","cplspcon","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Content Protection HDCP Service","System.ServiceProcess.ServiceController[]",".","cplspcon","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT Authority\NetworkService","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","Automatic","CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Automatic","DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher",,".","DcomLaunch","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32ShareProcess",,
"LocalSystem","Dell Data Vault Service API exposes a COM API for working with the DDV services","True","""C:\Program Files\Dell\DellDataVault\DDVCollectorSvcApi.exe""","AutomaticDelayedStart","DDVCollectorSvcApi","System.ServiceProcess.ServiceController[]","False","False","True","Dell Data Vault Service API","System.ServiceProcess.ServiceController[]",".","DDVCollectorSvcApi","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","DDV Collector service gathers system information and stores it for later use","True","""C:\Program Files\Dell\DellDataVault\DDVDataCollector.exe""","AutomaticDelayedStart","DDVDataCollector","System.ServiceProcess.ServiceController[]","False","True","True","Dell Data Vault Collector","System.ServiceProcess.ServiceController[]",".","DDVDataCollector","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","DDV Rules Processor generates alerts based on data collected by DDV Collector service","True","""C:\Program Files\Dell\DellDataVault\DDVRulesProcessor.exe""","AutomaticDelayedStart","DDVRulesProcessor","System.ServiceProcess.ServiceController[]","False","True","True","Dell Data Vault Processor","System.ServiceProcess.ServiceController[]",".","DDVRulesProcessor","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Enables Dell applications to manage Dell specific features of the system. If this service is stopped, any services that explicitly depend on it will cause this service to be restarted. If this service is disabled, any services that explicitly depend on it will fail to function.","True","""C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe""","AutomaticDelayedStart","DellClientManagementService","System.ServiceProcess.ServiceController[]","False","True","True","Alienware Client Management Service","System.ServiceProcess.ServiceController[]",".","DellClientManagementService","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Foundational service managing Dell applications through Dell TechHub","True","""C:\Program Files\Dell\TechHub\Dell.TechHub.exe""","AutomaticDelayedStart","DellTechHub","System.ServiceProcess.ServiceController[]","False","True","True","Dell TechHub","System.ServiceProcess.ServiceController[]",".","DellTechHub","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Enables pairing between the system and wired or wireless devices.","False","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Automatic","DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","False","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Manual","DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","True","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"","Allows ConnectUX and PC Settings to Connect and Pair with WiFi displays and Bluetooth devices.","False","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Manual","DevicesFlowUserSvc_1997b6","System.ServiceProcess.ServiceController[]","False","False","True","DevicesFlow_1997b6","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_1997b6","System.ServiceProcess.ServiceController[]","Manual",,"Running","240",,
"NT Authority\LocalService","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","DHCP Client","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics.","False","C:\WINDOWS\System32\svchost.exe -k utcsvc -p","Automatic","DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Connected User Experiences and Telemetry","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","Manages the connection and configuration of local and remote displays","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Automatic","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","False","False","True","Display Policy Service","System.ServiceProcess.ServiceController[]",".","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","A service for managing display enhancement such as brightness control.","False","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DisplayEnhancementService","System.ServiceProcess.ServiceController[]","False","False","True","Display Enhancement Service","System.ServiceProcess.ServiceController[]",".","DisplayEnhancementService","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\NetworkService","The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped, DNS names will continue to be resolved. However, the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled, any services that explicitly depend on it will fail to start.","False","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","Automatic","Dnscache","System.ServiceProcess.ServiceController[]","False","False","False","DNS Client","System.ServiceProcess.ServiceController[]",".","Dnscache","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT Authority\NetworkService","Performs content delivery optimization tasks","True","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","AutomaticDelayedStart","DoSvc","System.ServiceProcess.ServiceController[]","False","False","True","Delivery Optimization","System.ServiceProcess.ServiceController[]",".","DoSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function.","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p","Automatic","DPS","System.ServiceProcess.ServiceController[]","False","True","True","Diagnostic Policy Service","System.ServiceProcess.ServiceController[]",".","DPS","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Provides data brokering between applications.","False","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","DsSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Sharing Service","System.ServiceProcess.ServiceController[]",".","DsSvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT Authority\LocalService","Network data usage, data limit, restrict background data, metered networks.","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","DusmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Usage","System.ServiceProcess.ServiceController[]",".","DusmSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Provides the core file encryption technology used to store encrypted files on NTFS file system volumes. If this service is stopped or disabled, applications will be unable to access encrypted files.","False","C:\WINDOWS\System32\lsass.exe","Manual","EFS","System.ServiceProcess.ServiceController[]","False","False","False","Encrypting File System (EFS)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32ShareProcess",,
"LocalSystem","Intel(R) Dynamic Tuning service","False","""C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe""","Automatic","esifsvc","System.ServiceProcess.ServiceController[]","True","False","True","Intel(R) Dynamic Tuning service","System.ServiceProcess.ServiceController[]",".","esifsvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system.","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","EventLog","System.ServiceProcess.ServiceController[]","False","True","True","Windows Event Log","System.ServiceProcess.ServiceController[]",".","EventLog","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Automatic","EventSystem","System.ServiceProcess.ServiceController[]","False","False","True","COM+ Event System","System.ServiceProcess.ServiceController[]",".","EventSystem","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services – Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network discovery for these protocols when using FD. When this service is unavailable, network services using FD and relying on these discovery protocols will be unable to find network devices or resources.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","fdPHost","System.ServiceProcess.ServiceController[]","False","False","True","Function Discovery Provider Host","System.ServiceProcess.ServiceController[]",".","fdPHost","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Manual","FDResPub","System.ServiceProcess.ServiceController[]","False","True","True","Function Discovery Resource Publication","System.ServiceProcess.ServiceController[]",".","FDResPub","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Automatic","FontCache","System.ServiceProcess.ServiceController[]","False","True","True","Windows Font Cache Service","System.ServiceProcess.ServiceController[]",".","FontCache","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT Authority\LocalService","Optimizes performance of Windows Presentation Foundation (WPF) applications by caching commonly used font data. WPF applications will start this service if it is not already running. It can be disabled, though doing so will degrade the performance of WPF applications.","False","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","Manual","FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","False","True","True","Windows Presentation Foundation Font Cache 3.0.0.0","System.ServiceProcess.ServiceController[]",".","FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess",,
"LocalSystem","Host service for GameInput.","False","""C:\Program Files (x86)\Microsoft GameInput\x64\gameinputsvc.exe""","Automatic","GameInput Service","System.ServiceProcess.ServiceController[]","False","True","True","GameInput Service","System.ServiceProcess.ServiceController[]",".","GameInput Service","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Gaming Services","False","""C:\Program Files\WindowsApps\Microsoft.GamingServices_11.75.22001.0_x64__8wekyb3d8bbwe\GamingServices.exe""","Automatic","GamingServices","System.ServiceProcess.ServiceController[]","False","True","True","Gaming Services","System.ServiceProcess.ServiceController[]",".","GamingServices","System.ServiceProcess.ServiceController[]","Automatic",,"Running","528",,
"NT AUTHORITY\LocalService","Gaming Services","False","""C:\Program Files\WindowsApps\Microsoft.GamingServices_11.75.22001.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe""","Automatic","GamingServicesNet","System.ServiceProcess.ServiceController[]","False","False","True","Gaming Services","System.ServiceProcess.ServiceController[]",".","GamingServicesNet","System.ServiceProcess.ServiceController[]","Automatic",,"Running","528",,
"LocalSystem","Activates and maintains the use of hot buttons on keyboards, remote controls, and other multimedia devices. It is recommended that you keep this service running.","False","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Manual","hidserv","System.ServiceProcess.ServiceController[]","False","True","True","Human Interface Device Service","System.ServiceProcess.ServiceController[]",".","hidserv","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Service for Intel(R) Graphics Command Center","False","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_9cf4db1a1fd1b22d\OneApp.IGCC.WinService.exe","Automatic","igccservice","System.ServiceProcess.ServiceController[]","True","True","True","Intel(R) Graphics Command Center Service","System.ServiceProcess.ServiceController[]",".","igccservice","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","Service for Intel(R) HD Graphics Control Panel","False","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_7208949846a9b9dc\igfxCUIService.exe","Automatic","igfxCUIService2.0.0.0","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) HD Graphics Control Panel Service","System.ServiceProcess.ServiceController[]",".","igfxCUIService2.0.0.0","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"LocalSystem","The IKEEXT service hosts the Internet Key Exchange (IKE) and Authenticated Internet Protocol (AuthIP) keying modules. These keying modules are used for authentication and key exchange in Internet Protocol security (IPsec). Stopping or disabling the IKEEXT service will disable IKE and AuthIP key exchange with peer computers. IPsec is typically configured to use IKE or AuthIP; therefore, stopping or disabling the IKEEXT service might result in an IPsec failure and might compromise the security of the system. It is strongly recommended that you have the IKEEXT service running.","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Automatic","IKEEXT","System.ServiceProcess.ServiceController[]","False","True","True","IKE and AuthIP IPsec Keying Modules","System.ServiceProcess.ServiceController[]",".","IKEEXT","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Provides infrastructure support for the Microsoft Store.  This service is started on demand and if disabled then installations will not function properly.","False","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manual","InstallService","System.ServiceProcess.ServiceController[]","False","False","True","Microsoft Store Install Service","System.ServiceProcess.ServiceController[]",".","InstallService","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess",,
